t_ms,asset_id,size_bytes
1,a214,65536
4,a21,65536
6,a196,131072
7,a126,65536
10,a289,65536
13,a248,131072
16,a33,65536
19,a222,65536
21,a282,65536
22,a214,131072
25,a29,65536
28,a126,262144
40,a152,65536
41,a89,65536
44,a25,262144
45,a272,65536
46,a262,65536
48,a103,262144
49,a123,131072
52,a277,65536
54,a152,65536
57,a99,65536
60,a103,262144
63,a123,131072
66,a83,262144
67,a25,65536
70,a157,262144
72,a103,131072
74,a157,131072
77,a222,65536
80,a16,131072
81,a298,65536
82,a262,131072
84,a202,131072
87,a152,262144
90,a298,65536
91,a169,262144
93,a233,65536
94,a103,262144
95,a8,262144
97,a66,65536
100,a216,262144
101,a222,65536
103,a271,65536
106,a129,262144
109,a152,65536
112,a87,262144
114,a298,262144
119,a131,65536
122,a295,65536
123,a258,65536
125,a295,262144
127,a63,262144
130,a117,262144
133,a231,262144
135,a48,65536
138,a88,262144
139,a72,262144
140,a63,65536
143,a63,65536
144,a299,131072
147,a118,131072
148,a184,262144
149,a140,262144
150,a253,262144
151,a192,65536
154,a253,262144
155,a26,65536
156,a118,65536
159,a215,262144
162,a64,65536
163,a199,65536
188,a20,65536
191,a62,262144
192,a231,131072
195,a70,131072
197,a247,65536
199,a69,131072
201,a15,65536
203,a195,131072
204,a282,65536
206,a70,131072
209,a69,131072
210,a240,262144
213,a63,262144
214,a156,262144
217,a90,65536
220,a284,65536
221,a86,65536
223,a141,262144
225,a242,262144
226,a247,65536
228,a195,262144
229,a240,65536
232,a240,65536
233,a247,65536
236,a211,131072
237,a284,65536
238,a171,131072
240,a240,65536
243,a247,131072
245,a57,131072
246,a242,65536
247,a132,262144
248,a41,262144
251,a86,131072
252,a216,131072
255,a284,131072
258,a216,65536
259,a242,65536
262,a86,65536
263,a62,262144
264,a199,262144
265,a62,131072
268,a240,262144
269,a195,65536
270,a195,262144
272,a132,131072
273,a156,262144
274,a156,65536
275,a72,131072
276,a247,65536
278,a290,65536
280,a62,65536
282,a247,65536
284,a70,262144
287,a62,131072
289,a217,65536
290,a70,131072
291,a156,262144
294,a247,65536
296,a86,131072
298,a156,131072
299,a69,65536
300,a207,131072
302,a69,65536
